wavelength,x,y
360,0.175560231756,0.005293837011
361,0.175482527710,0.005286339106
362,0.175400022357,0.005278642043
363,0.175317049459,0.005270968794
364,0.175236739464,0.005263493923
365,0.175161218506,0.005256345915
366,0.175087794161,0.005246844528
367,0.175014938868,0.005235570329
368,0.174945189439,0.005226156911
369,0.174880124779,0.005220784940
370,0.174820607680,0.005220600938
371,0.174770252214,0.005228667217
372,0.174722036674,0.005237520177
373,0.174665367951,0.005236160663
374,0.174595050266,0.005218322253
375,0.174509720869,0.005181639770
376,0.174409249352,0.005126760898
377,0.174308458224,0.005067592520
378,0.174221772058,0.005017031536
379,0.174155594353,0.004981444911
380,0.174112234426,0.004963725981
381,0.174088307167,0.004963600065
382,0.174072590902,0.004972542618
383,0.174057024293,0.004982036139
384,0.174036270610,0.004985961429
385,0.174007917516,0.004980548623
386,0.173971929755,0.004964083096
387,0.173931678596,0.004943406649
388,0.173889035777,0.004926048511
389,0.173845256167,0.004916093071
390,0.173800772621,0.004915411905
391,0.173754438047,0.004924853695
392,0.173705352749,0.004937098371
393,0.173655189400,0.004943790983
394,0.173606018217,0.004939895271
395,0.173559906527,0.004923202577
396,0.173514449742,0.004895446713
397,0.173468498200,0.004864579139
398,0.173423666226,0.004836312122
399,0.173379996017,0.004813338324
400,0.173336865481,0.004796743447
401,0.173291285659,0.004785845648
402,0.173237920453,0.004778887932
403,0.173174238776,0.004775130800
404,0.173101012209,0.004774030674
405,0.173020965455,0.004775050362
406,0.172934256851,0.004781147172
407,0.172842756135,0.004790792949
408,0.172751152603,0.004798762099
409,0.172662105581,0.004802084356
410,0.172576550849,0.004799301920
411,0.172489477382,0.004795254364
412,0.172395603384,0.004796118589
413,0.172296001755,0.004802629473
414,0.172192360362,0.004814885214
415,0.172086630755,0.004832524218
416,0.171982445938,0.004855010169
417,0.171871019446,0.004888531922
418,0.171741213706,0.004939332457
419,0.171587239365,0.005010344207
420,0.171407433863,0.005102170974
421,0.171206113462,0.005211257777
422,0.170992574222,0.005333907762
423,0.170770596368,0.005470121247
424,0.170540661924,0.005620969933
425,0.170300988780,0.005788504996
426,0.170050158668,0.005973895108
427,0.169785868751,0.006176807488
428,0.169504602532,0.006398036907
429,0.169202921712,0.006638705918
430,0.168877520671,0.006900243888
431,0.168524660344,0.007184043888
432,0.168146145462,0.007490679666
433,0.167746219827,0.007820818488
434,0.167328325745,0.008175399675
435,0.166895290352,0.008555606361
436,0.166446327135,0.008964400418
437,0.165976758231,0.009401716227
438,0.165483299011,0.009864680972
439,0.164962663720,0.010350743541
440,0.164411756375,0.010857558277
441,0.163828432762,0.011384865616
442,0.163209895954,0.011937385815
443,0.162552139507,0.012520029918
444,0.161851438065,0.013137307095
445,0.161104579580,0.013793358822
446,0.160309595019,0.014491378166
447,0.159465945758,0.015232064644
448,0.158573111076,0.016015156416
449,0.157631165578,0.016839870972
450,0.156640932577,0.017704804991
451,0.155605095583,0.018608606524
452,0.154524612495,0.019555697805
453,0.153397229336,0.020553733530
454,0.152219236228,0.021611711021
455,0.150985408376,0.022740193292
456,0.149690564759,0.023950330196
457,0.148336817068,0.025247398432
458,0.146928226501,0.026635185858
459,0.145468371779,0.028118433330
460,0.143960396040,0.029702970297
461,0.142405090190,0.031393583986
462,0.140795646665,0.033213154606
463,0.139120682427,0.035200572827
464,0.137363757935,0.037403090444
465,0.135502671200,0.039879121472
466,0.133509340956,0.042692390011
467,0.131370635236,0.045875975223
468,0.129085786557,0.049449810660
469,0.126662156977,0.053425919773
470,0.124118476728,0.057802513374
471,0.121468583913,0.062587672067
472,0.118701276452,0.067830443532
473,0.115807358768,0.073580707973
474,0.112776054848,0.079895822896
475,0.109594323616,0.086842511183
476,0.106260735318,0.094486072204
477,0.102775862947,0.102863738818
478,0.099127599902,0.112007033037
479,0.095304056215,0.121944863255
480,0.091293507002,0.132702042487
481,0.087082431727,0.144316582680
482,0.082679534482,0.156865958077
483,0.078115985733,0.170420486477
484,0.073437259905,0.185031880527
485,0.068705921291,0.200723217728
486,0.063993023687,0.217467605405
487,0.059315827981,0.235253740241
488,0.054666522876,0.254095590747
489,0.050031497058,0.274001803220
490,0.045390734675,0.294975964606
491,0.040757315336,0.316981080840
492,0.036195109154,0.339899934414
493,0.031756470379,0.363597693246
494,0.027494190535,0.387921328281
495,0.023459942547,0.412703479094
496,0.019704636303,0.437755888652
497,0.016268471267,0.462954507989
498,0.013183041153,0.488207068412
499,0.010475700683,0.513404245160
500,0.008168028005,0.538423070512
501,0.006284851573,0.563068456322
502,0.004875429993,0.587116438045
503,0.003982425352,0.610447497639
504,0.003636384225,0.633011382751
505,0.003858520900,0.654823151125
506,0.004645713233,0.675898458599
507,0.006010913072,0.696120061336
508,0.007988395829,0.715341516256
509,0.010603290554,0.733412942652
510,0.013870246085,0.750186428039
511,0.017766124206,0.765612154434
512,0.022244205695,0.779629923201
513,0.027273262420,0.792103502831
514,0.032820357522,0.802925672990
515,0.038851802403,0.812016021362
516,0.045327984829,0.819390800456
517,0.052176690905,0.825163542583
518,0.059325533352,0.829425776297
519,0.066715886027,0.832273739284
520,0.074302424773,0.833803091340
521,0.082053395236,0.834090314505
522,0.089941739585,0.833288918896
523,0.097939750111,0.831592666499
524,0.106021107332,0.829178186631
525,0.114160719607,0.826206959781
526,0.122347367034,0.822770399564
527,0.130545668138,0.818927852909
528,0.138702349214,0.814774382595
529,0.146773215738,0.810394606548
530,0.154722061216,0.805863545426
531,0.162535424655,0.801238480414
532,0.170237195479,0.796518542245
533,0.177849528012,0.791686579060
534,0.185390757399,0.786727772821
535,0.192876097878,0.781629216363
536,0.200308798145,0.776399416051
537,0.207689989667,0.771054798660
538,0.215029550006,0.765595096061
539,0.222336603758,0.760019999741
540,0.229619672650,0.754329089903
541,0.236884720598,0.748524465175
542,0.244132556474,0.742613991681
543,0.251363408871,0.736605581362
544,0.258577508455,0.730506601910
545,0.265775084971,0.724323924930
546,0.272957603511,0.718062186417
547,0.280128942482,0.711724734569
548,0.287292409080,0.705316273888
549,0.294450280894,0.698842022022
550,0.301603799396,0.692307762372
551,0.308759923093,0.685712060607
552,0.315914394449,0.679063479991
553,0.323066265382,0.672367397969
554,0.330215545357,0.665628025417
555,0.337363332851,0.658848290140
556,0.344513198355,0.652028209218
557,0.351664411297,0.645172174245
558,0.358813686684,0.638287336538
559,0.365959357349,0.631379080900
560,0.373101543868,0.624450859797
561,0.380243835464,0.617502152174
562,0.387378977959,0.610541802455
563,0.394506548797,0.603571336792
564,0.401625918831,0.596592421963
565,0.408736255706,0.589606868860
566,0.415835774706,0.582617968057
567,0.422920926710,0.575630688323
568,0.429988626512,0.568648891271
569,0.437036422594,0.561675774049
570,0.444062463582,0.554713902809
571,0.451064940951,0.547766044129
572,0.458040665647,0.540836629164
573,0.464986332978,0.533930053057
574,0.471898743900,0.527050569219
575,0.478774791158,0.520202307211
576,0.485611587052,0.513388660962
577,0.492404982334,0.506614924421
578,0.499150668334,0.499887340438
579,0.505845283794,0.493211178108
580,0.512486366782,0.486590788061
581,0.519072510401,0.480028612176
582,0.525600488985,0.473527373976
583,0.532065599161,0.467091363704
584,0.538462761903,0.460725253841
585,0.544786505595,0.454434114569
586,0.551031050212,0.448224502910
587,0.557192906096,0.442099139484
588,0.563269312373,0.436058061737
589,0.569256824125,0.430101973605
590,0.575151311365,0.424232234925
591,0.580952605161,0.418446879817
592,0.586650186891,0.412758421192
593,0.592224800071,0.407189528585
594,0.597658162105,0.401761934972
595,0.602932785576,0.396496633573
596,0.608035111132,0.391409151708
597,0.612976999571,0.386486157332
598,0.617778725585,0.381705756829
599,0.622459295079,0.377047286381
600,0.627036599764,0.372491145218
601,0.631520942860,0.368026010822
602,0.635899819576,0.363665402433
603,0.640156159548,0.359427724304
604,0.644272960657,0.355331369772
605,0.648233106014,0.351394916305
606,0.652028235718,0.347627960748
607,0.655669179250,0.344018294844
608,0.659166134693,0.340553225412
609,0.662528222054,0.337220992607
610,0.665763576238,0.334010651155
611,0.668874143664,0.330918553002
612,0.671858667148,0.327947074300
613,0.674719511112,0.325095182004
614,0.677458888275,0.322362076689
615,0.680078849722,0.319747217069
616,0.682581574187,0.317248705962
617,0.684970601449,0.314862815015
618,0.687250454557,0.312585963996
